dataset,construction,omega_tilde,omega_prompt_rms,coherence_ratio,null_p95,p_value
ultrafeedback_by_model,"aspect votes, logit (observed)",0.01808535055451807,0.18111502568770596,0.09985560549626833,0.0028165967551148094,0.004975124378109453
ultrafeedback_by_model,"aspect BT mixture, logit (soft)",0.0016080179788725074,0.05710305603845387,0.028159928564762786,0.0008677294675065424,0.004975124378109453
ultrafeedback_by_model,"transitive surrogate: mean score as 4 identical votes, logit",0.052521748238022574,0.4594634155770729,0.11431105602185272,0.006912809823452366,0.004975124378109453
helpsteer_by_length_rank,"attribute votes, logit (observed)",0.014429494734523856,0.10311423364152449,0.13993698275145833,0.0021063546257137134,0.004975124378109453
helpsteer_by_length_rank,"attribute BT mixture, logit (soft)",0.0015324177626579616,0.01927706361072383,0.07949435627765827,0.00037706609266506785,0.004975124378109453
helpsteer_by_length_rank,"transitive surrogate: mean score as 5 identical votes, logit",0.06257188693753259,0.474972641397166,0.13173787600370604,0.008612599900995358,0.004975124378109453
mt_bench_human_by_model,"votes, logit (observed)",0.06599332024677422,0.36420139702577786,0.18120007442503927,0.03887372796393811,0.004975124378109453
mt_bench_human_by_model,"transitive surrogate: same votes to the BT winner, logit",0.1037720319865835,0.47637438425622247,0.2178371369581634,0.05037217977680599,0.004975124378109453
mt_bench_gpt4_by_model,"votes, logit (observed)",0.09678681527168993,0.2374228744546592,0.4076558145208261,0.02413242038518238,0.004975124378109453
mt_bench_gpt4_by_model,"transitive surrogate: same votes to the BT winner, logit",0.1186271243607471,0.2652764215404309,0.4471830691619424,0.026029277957963743,0.004975124378109453
