dataset,construction,link,u_quantile,u_cut,panels,share_median,share_p90,alpha,beta_lambda,frac_beyond_frontier
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.5,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.5,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.5,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.5,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.8,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.8,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.8,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.8,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.9,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.9,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.9,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.9,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.95,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.95,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.95,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.95,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.99,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.99,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.99,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.1,0.4829863360630011,963,2.721836277606598e-31,0.1,0.99,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.5,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.5,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.5,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.5,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.8,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.8,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.8,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.8,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.9,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.9,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.9,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.9,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.95,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.95,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.95,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.95,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.99,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.99,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.99,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,0.25,0.7185684611776785,1500,0.0001569145401826,0.0734180519612025,0.99,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.5,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.5,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.5,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.5,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.8,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.8,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.8,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.8,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.9,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.9,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.9,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.9,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.95,1.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.95,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.95,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.95,10.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.99,1.0,0.0
